election_year,fips,county_name,state,democratic_raw_votes,republican_raw_votes,winningParty,voteDiff,winningPercentage
2000,01001,AUTAUGA,AL,4942,11993,Republican,7051,0.4097512784751278
2004,01001,AUTAUGA,AL,4758,15196,Republican,10438,0.5197948309347145
2008,01001,AUTAUGA,AL,6093,17403,Republican,11310,0.47840615879192927
2012,01001,AUTAUGA,AL,6363,17379,Republican,11016,0.45951695657614816
2016,01001,AUTAUGA,AL,5936,18172,Republican,12236,0.48996916670003604
2020,01001,AUTAUGA,AL,7503,19838,Republican,12335,0.4441843716240547
2000,01003,BALDWIN,AL,13997,40872,Republican,26875,0.47583215297450426
2004,01003,BALDWIN,AL,15599,52971,Republican,37372,0.5391229082515868
2008,01003,BALDWIN,AL,19386,61271,Republican,41885,0.5144755751538452
2012,01003,BALDWIN,AL,18424,66016,Republican,47592,0.5566901779134645
2016,01003,BALDWIN,AL,18458,72883,Republican,54425,0.571601113269968
2020,01003,BALDWIN,AL,24578,83544,Republican,58966,0.5376234283682382
2000,01005,BARBOUR,AL,5188,5096,Demoncratic,92,0.00885040885040885
2004,01005,BARBOUR,AL,4832,5899,Republican,1067,0.09900714484550431
2008,01005,BARBOUR,AL,5697,5866,Republican,169,0.014531384350816853
2012,01005,BARBOUR,AL,5912,5550,Demoncratic,362,0.03143179647477642
2016,01005,BARBOUR,AL,4871,5454,Republican,583,0.05568822237080905
2020,01005,BARBOUR,AL,4816,5622,Republican,806,0.07663053812511884
2000,01007,BIBB,AL,2710,4273,Republican,1563,0.22010984368398817
2004,01007,BIBB,AL,2089,5472,Republican,3383,0.44513157894736843
2008,01007,BIBB,AL,2299,6262,Republican,3963,0.4584683017121703
2012,01007,BIBB,AL,2202,6132,Republican,3930,0.4667458432304038
2016,01007,BIBB,AL,1874,6738,Republican,4864,0.5515364553804286
2020,01007,BIBB,AL,1986,7525,Republican,5539,0.5772798332464826
2000,01009,BLOUNT,AL,4977,12667,Republican,7690,0.42786401824959663
2004,01009,BLOUNT,AL,3938,17386,Republican,13448,0.6253720238095238
2008,01009,BLOUNT,AL,3522,20389,Republican,16867,0.6950591338031071
2012,01009,BLOUNT,AL,2970,20757,Republican,17787,0.7392768079800499
2016,01009,BLOUNT,AL,2156,22859,Republican,20703,0.8090901985305612
2020,01009,BLOUNT,AL,2640,24711,Republican,22071,0.8000217485863419
2000,01011,BULLOCK,AL,3395,1433,Demoncratic,1962,0.40008156606851547
2004,01011,BULLOCK,AL,3210,1494,Demoncratic,1716,0.36379054483782064
2008,01011,BULLOCK,AL,4011,1391,Demoncratic,2620,0.4838411819021237
